Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Total   
45       0.56     10.65    332.73   -400.89  -81.81   -231.34  0.00     0.00     0.00     -15.79   -0.00    0.00     -397.10 
46       0.53     10.40    297.91   -393.50  -86.80   -236.31  0.00     0.00     0.00     -16.06   -0.00    0.00     -434.76 
47       0.45     10.69    309.59   -404.02  -87.13   -234.94  0.00     0.00     0.00     -17.67   -0.00    0.00     -434.17 
48       0.47     11.52    285.11   -389.75  -72.41   -237.23  0.00     0.00     0.00     -18.92   -0.00    0.00     -433.20 
49       0.45     10.88    306.61   -404.19  -87.23   -224.98  0.00     0.00     0.00     -16.42   -0.00    0.00     -426.20 
50       0.41     10.86    295.96   -399.15  -74.60   -221.55  0.00     0.00     0.00     -17.09   -0.00    0.00     -416.44 
51       0.53     11.05    271.09   -415.02  -76.24   -252.03  0.00     0.00     0.00     -17.79   -0.00    0.00     -490.00 
52       0.50     10.65    298.31   -414.81  -73.64   -246.69  0.00     0.00     0.00     -16.92   0.00     0.00     -453.75 
53       0.52     10.58    338.99   -390.73  -80.34   -242.12  0.00     0.00     0.00     -16.22   -0.00    0.00     -390.42 
54       0.51     10.57    314.90   -412.40  -78.75   -230.63  0.00     0.00     0.00     -18.85   -0.00    0.00     -425.72 
55       0.57     10.26    335.24   -428.97  -85.29   -225.83  0.00     0.00     0.00     -16.57   0.00     0.00     -421.41 
56       0.50     11.11    310.31   -417.46  -72.16   -229.47  0.00     0.00     0.00     -16.35   0.00     0.00     -425.13 
57       0.76     9.97     300.24   -397.22  -82.57   -232.28  0.00     0.00     0.00     -18.11   0.00     0.00     -429.93 
58       0.57     11.00    305.41   -400.72  -75.18   -233.74  0.00     0.00     0.00     -13.45   0.00     0.00     -417.67 
59       0.59     10.83    297.95   -403.70  -76.59   -241.34  0.00     0.00     0.00     -16.21   -0.00    0.00     -439.89 
60       0.52     11.13    320.23   -407.27  -73.63   -236.05  0.00     0.00     0.00     -17.52   -0.00    0.00     -414.24 
61       0.60     10.47    299.70   -395.71  -76.27   -240.77  0.00     0.00     0.00     -16.17   -0.00    0.00     -429.21 
62       0.49     11.23    281.55   -411.56  -71.43   -242.90  0.00     0.00     0.00     -17.75   0.00     0.00     -462.09 
63       0.45     11.52    327.97   -419.94  -73.45   -235.63  0.00     0.00     0.00     -18.95   0.00     0.00     -420.01 
64       0.57     11.18    280.19   -410.39  -76.40   -250.43  0.00     0.00     0.00     -19.23   0.00     0.00     -476.26 
65       0.59     10.52    302.87   -411.15  -80.82   -225.30  0.00     0.00     0.00     -15.08   -0.00    0.00     -429.48 
66       0.70     10.39    281.16   -411.54  -80.73   -244.64  0.00     0.00     0.00     -18.85   -0.00    0.00     -474.60 
67       0.55     11.11    280.97   -403.01  -85.95   -230.94  0.00     0.00     0.00     -15.27   -0.00    0.00     -454.20 
68       0.50     11.05    300.58   -409.15  -81.02   -230.95  0.00     0.00     0.00     -15.67   -0.00    0.00     -436.20 
69       0.42     11.76    311.40   -384.35  -76.77   -220.21  0.00     0.00     0.00     -13.45   0.00     0.00     -383.37 
70       0.50     10.95    315.24   -405.31  -79.09   -243.51  0.00     0.00     0.00     -16.97   0.00     0.00     -429.63 
71       0.46     10.94    336.14   -430.32  -82.87   -243.57  0.00     0.00     0.00     -16.69   0.00     0.00     -437.31 
72       0.63     10.83    300.09   -405.96  -74.67   -254.94  0.00     0.00     0.00     -17.88   0.00     0.00     -453.37 
73       0.65     10.66    298.52   -409.33  -80.53   -250.88  0.00     0.00     0.00     -17.72   -0.00    0.00     -459.93 
